x;y
-18;2.552401367438792
-15;3.7870387176491986
-12;2.9802374377107874
-9;6.99202102254164
-2;5.941761406940602
-2;6.149014177580519
8;4.6651531712854855
11;10.81019245654868
14;6.435764992091818
14;9.098414137012997
18;15.058947355489323
25;20.394270953078205
28;17.25948115605684
31;17.04201264958688
35;27.061383047293056
37;28.973469186465074
38;30.51750084516711
40;29.852926291435157
44;29.40684920910676
47;37.65260227613415
48;40.77379030543852
48;37.02119372028413
51;40.55979233363329
53;40.60522162300686
57;48.22347640999437
61;53.68404565861321
67;67.02778202321447
76;78.8168661532009
78;76.75404461404135
79;80.52325799386382
